from,to,,
anl,e30809,skipper,
anl,SE,,
rm,e30809,crew,
rm,ts1112,crew,
rm,NZ,,
akm,e30809,crew,
akm,ts1112,crew,
akm,NOR,,
eme,e30809,crew,
eme,NOR,,
smy,e30809,crew,
smy,DNK,,
jn,e30809,crew,
jn,DNK,,
kn,e30809,crew,
kn,SE,,
mo,e30809,skipper,
mo,SE,,
ar,e30809,crew,
ar,NOR,,
ad,e30809,crew,
ad,SE,,
maw,e30809,crew,
maw,SE,,
shf,por0809,crew,
shf,UK,,
sg,por0809,crew,
sg,FRA,,
jk,por0809,crew,
jk,US,,
jmc,por0809,crew,
jmc,US,,
mm,por0809,crew,
mm,por1112,crew,
mm,GER,,
rn,por0809,crew,
rn,NZ,,
kr,por0809,skipper,
kr,por1112,skipper,
kr,US,,
cas,por0809,crew,
cas,por1112,crew,
cas,AUS,,
ew,por0809,crew,
ew,NZ,,
ib,gd0809,crew,
ib,UK,,
jc,gd0809,crew,
jc,IR,,
cm,gd0809,crew,
cm,ts1112,crew,
cm,NZ,,
nmcd,gd0809,crew,
nmcd,t1112,crew,
nmcd,UK,,
amcl,gd0809,crew,
amcl,cwetnz1112,crew,
amcl,NZ,,
ame,gd0809,crew,
ame,AUS,,
scm,gd0809,crew,
scm,UK,,
imo,gd0809,crew,
imo,IR,,
jln,gd0809,crew,
jln,g41112,crew,
jln,FRA,,
fs,gd0809,crew,
fs,UK,,
gar,tbla0809,crew,
gar,ESP,,
ja,tbla0809,crew,
ja,ESP,,
fe,tbla0809,skipper,
fe,ESP,,
pi,tbla0809,crew,
pi,ESP,,
sl,tbla0809,crew,
sl,ARG,,
rni,tbla0809,crew,
rni,SW,,
mp,tbla0809,crew,
mp,cwetnz1112,crew,
mp,ZAF,,
jp,tbla0809,crew,
jp,ESP,,
fr,tbla0809,crew,
fr,ESP,,
dv,tbla0809,crew,
dv,ESP,,
im,tblu0809,crew,
im,t1112,skipper,
im,ESP,,
jsw,tblu0809,crew,
jsw,por1112,crew,
jsw,ZAF,,
jca,tblu0809,crew,
jca,t1112,crew,
jca,ESP,,
pr,tblu0809,crew,
pr,t1112,skipper,
pr,ESP,,
ga,dl0809,crew,
ga,tr0809,crew,
ga,ESP,,
afo,dl0809,crew,
afo,BR,,
mag,dl0809,crew,
mag,US,,
fk,dl0809,crew,
fk,NLD,,
eo,dl0809,crew,
eo,IR,,
go,dl0809,skipper,
go,IR,,
dp,dl0809,crew,
dp,ESP,,
gp,dl0809,crew,
gp,NLD,,
evl,dl0809,crew,
evl,NLD,,
mwa,dl0809,crew,
mwa,UK,,
mw,dl0809,crew,
mw,AUS,,
stw,dl0809,crew,
stw,NZ,,
nbu,tr0809,crew,
nbu,UK,,
je,tr0809,crew,
je,IR,,
bco,tr0809,crew,
bco,AUS,,
ah,tr0809,skipper,
ah,AUT,,
mj,tr0809,crew,
mj,ZAF,,
rl,tr0809,crew,
rl,UKR,,
sw,tr0809,crew,
sw,DNK,,
cw,tr0809,crew,
cw,ZAF,,
oz,tr0809,crew,
oz,RUS,,
bd,ge2223,skipper,
bd,FR,,
rst,ge2223,skipper,
rst,GER,,
pk,ge2223,crew,
pk,GER,,
acb,ge2223,crew,
acb,FR,,
gl,ge2223,crew,
gl,FR,,
ss,ge2223,crew,
ss,FR,,
te,ge2223,crew,
te,ESP,,
cd,ge2223,crew,
cd,FR,,
pm,br2223,skipper,
pm,FR,,
am,br2223,crew,
am,FR,,
ml,br2223,crew,
ml,POR,,
alr,br2223,crew,
alr,UK,,
ag,br2223,crew,
ag,FR,,
dse,br2223,crew,
dse,FR,,
rg,br2223,crew,
rg,FR,,
ab,br2223,crew,
ab,FR,,
zm,br2223,crew,
zm,CHN,,
bh,tm2223,skipper,
bh,GER,,
wh,tm2223,skipper,
wh,UK,,
rk,por1112,crew,
rk,tm2223,crew,
rk,NED,,
cp,tm2223,crew,
cp,FR,,
ap,tm2223,crew,
ap,FR,,
ye,tm2223,crew,
ye,FR,,
aa,tm2223,crew,
aa,FR,,
bs,hprb2223,skipper,
bs,FR,,
sg,hprb2223,crew,
sg,UK,,
tl,hprb2223,crew,
tl,FR,,
sbe,hprb2223,crew,
sbe,GER,,
mlp,hprb2223,crew,
mlp,FR,,
yr,hprb2223,crew,
yr,FR,,
gs,hprb2223,crew,
gs,NZ,,
jc,hprb2223,crew,
jc,FR,,
ami,cwetnz1112,crew,
ami,NZ,,
kh,por1112,crew,
kh,NZ,,
zg,t1112,crew,
zg,AUS,,
msa,ts1112,skipper,
msa,NZ,,
ame,ts1112,crew,
ame,NZ,,
bsc,ts1112,crew,
bsc,BEL,,
cdu,ts1112,crew,
cdu,NZ,,
tjh,ts1112,crew,
tjh,CHN,,
